code,current,name,name_short,gender,country_code,country,events,birth_country,other_sports,medal_type,year
1935928,True,JONES Keaton,JONES K,Male,USA,United States,"[""Men's 200m Backstroke""]",United States,"Ice Swimming: Competed at the 2023 International Ice Swimming Association World Championships in Samoens (FRA). Won five gold medals, setting five world records",,2024
1935929,True,KALISZ Chase,KALISZ C,Male,USA,United States,"[""Men's 400m Individual Medley""]",United States,,,2024
1935931,True,KIBLER Drew,KIBLER D,Male,USA,United States,"[""Men's 4 x 200m Freestyle Relay"", 'Relay Only Athlete']",United States,,Silver,2024
1935932,True,KING Lilly,KING L,Female,USA,United States,"[""Women's 100m Breaststroke"", ""Women's 200m Breaststroke"", ""Women's 4 x 100m Medley Relay""]",United States,,Gold,2024
1935933,True,KING Matt,KING M,Male,USA,United States,"[""Men's 4 x 100m Freestyle Relay"", 'Relay Only Athlete']",United States,,Gold,2024
1935938,True,LEDECKY Katie,LEDECKY K,Female,USA,United States,"[""Women's 1500m Freestyle"", ""Women's 400m Freestyle"", ""Women's 4 x 200m Freestyle Relay"", ""Women's 800m Freestyle""]",United States,,Bronze,2024
1935938,True,LEDECKY Katie,LEDECKY K,Female,USA,United States,"[""Women's 1500m Freestyle"", ""Women's 400m Freestyle"", ""Women's 4 x 200m Freestyle Relay"", ""Women's 800m Freestyle""]",United States,,Gold,2024
1935938,True,LEDECKY Katie,LEDECKY K,Female,USA,United States,"[""Women's 1500m Freestyle"", ""Women's 400m Freestyle"", ""Women's 4 x 200m Freestyle Relay"", ""Women's 800m Freestyle""]",United States,,Gold,2024
1935938,True,LEDECKY Katie,LEDECKY K,Female,USA,United States,"[""Women's 1500m Freestyle"", ""Women's 400m Freestyle"", ""Women's 4 x 200m Freestyle Relay"", ""Women's 800m Freestyle""]",United States,,Silver,2024
1935943,True,MADDEN Paige,MADDEN P,Female,USA,United States,"[""Women's 400m Freestyle"", ""Women's 4 x 200m Freestyle Relay"", ""Women's 800m Freestyle""]",United States,,Bronze,2024
1935943,True,MADDEN Paige,MADDEN P,Female,USA,United States,"[""Women's 400m Freestyle"", ""Women's 4 x 200m Freestyle Relay"", ""Women's 800m Freestyle""]",United States,,Silver,2024
1935945,True,MANUEL Simone,MANUEL S,Female,USA,United States,"[""Women's 4 x 100m Freestyle Relay"", ""Women's 4 x 200m Freestyle Relay"", ""Women's 50m Freestyle""]",United States,,Silver,2024
1935945,True,MANUEL Simone,MANUEL S,Female,USA,United States,"[""Women's 4 x 100m Freestyle Relay"", ""Women's 4 x 200m Freestyle Relay"", ""Women's 50m Freestyle""]",United States,,Silver,2024
1935947,True,MATHENY Josh,MATHENY J,Male,USA,United States,"[""Men's 200m Breaststroke""]",United States,,,2024
1935957,True,MURPHY Ryan,MURPHY R,Male,USA,United States,"[""Men's 100m Backstroke"", ""Men's 200m Backstroke"", ""Men's 4 x 100m Medley Relay"", 'Mixed 4 x 100m Medley Relay']",United States,,Bronze,2024
1935957,True,MURPHY Ryan,MURPHY R,Male,USA,United States,"[""Men's 100m Backstroke"", ""Men's 200m Backstroke"", ""Men's 4 x 100m Medley Relay"", 'Mixed 4 x 100m Medley Relay']",United States,,Gold,2024
1935957,True,MURPHY Ryan,MURPHY R,Male,USA,United States,"[""Men's 100m Backstroke"", ""Men's 200m Backstroke"", ""Men's 4 x 100m Medley Relay"", 'Mixed 4 x 100m Medley Relay']",United States,,Silver,2024
1935967,True,PEPLOWSKI Anna,PEPLOWSKI A,Female,USA,United States,"[""Women's 4 x 200m Freestyle Relay"", 'Relay Only Athlete']",United States,,Silver,2024
1935968,True,PIERONI Blake,PIERONI B,Male,USA,United States,"[""Men's 4 x 200m Freestyle Relay"", 'Relay Only Athlete']",United States,,Silver,2024
1935972,True,PUSKOVITCH Ivan,PUSKOVITCH I,Male,USA,United States,"[""Men's 10km""]",,,,2024
1935978,True,SHACKELL Aaron,SHACKELL A,Male,USA,United States,"[""Men's 400m Freestyle""]",United States,,,2024
1935979,True,SHACKELL Alex,SHACKELL A,Female,USA,United States,"[""Women's 200m Butterfly"", ""Women's 4 x 100m Medley Relay"", ""Women's 4 x 200m Freestyle Relay""]",United States,,Silver,2024
1935979,True,SHACKELL Alex,SHACKELL A,Female,USA,United States,"[""Women's 200m Butterfly"", ""Women's 4 x 100m Medley Relay"", ""Women's 4 x 200m Freestyle Relay""]",United States,,Gold,2024
1935982,True,SMITH Kieran,SMITH K,Male,USA,United States,"[""Men's 400m Freestyle"", ""Men's 4 x 200m Freestyle Relay""]",Australia,Marathon swimming: Has competed at national level,Silver,2024
1935984,True,SMITH Regan,SMITH R,Female,USA,United States,"[""Women's 100m Backstroke"", ""Women's 200m Backstroke"", ""Women's 200m Butterfly"", ""Women's 4 x 100m Medley Relay"", 'Mixed 4 x 100m Medley Relay']",United States,,Silver,2024
1935984,True,SMITH Regan,SMITH R,Female,USA,United States,"[""Women's 100m Backstroke"", ""Women's 200m Backstroke"", ""Women's 200m Butterfly"", ""Women's 4 x 100m Medley Relay"", 'Mixed 4 x 100m Medley Relay']",United States,,Silver,2024
1935984,True,SMITH Regan,SMITH R,Female,USA,United States,"[""Women's 100m Backstroke"", ""Women's 200m Backstroke"", ""Women's 200m Butterfly"", ""Women's 4 x 100m Medley Relay"", 'Mixed 4 x 100m Medley Relay']",United States,,Silver,2024
1935984,True,SMITH Regan,SMITH R,Female,USA,United States,"[""Women's 100m Backstroke"", ""Women's 200m Backstroke"", ""Women's 200m Butterfly"", ""Women's 4 x 100m Medley Relay"", 'Mixed 4 x 100m Medley Relay']",United States,,Gold,2024
1935984,True,SMITH Regan,SMITH R,Female,USA,United States,"[""Women's 100m Backstroke"", ""Women's 200m Backstroke"", ""Women's 200m Butterfly"", ""Women's 4 x 100m Medley Relay"", 'Mixed 4 x 100m Medley Relay']",United States,,Gold,2024
1935992,True,SWANSON Charlie,SWANSON C,Male,USA,United States,"[""Men's 100m Breaststroke"", ""Men's 4 x 100m Medley Relay"", 'Mixed 4 x 100m Medley Relay']",United States,,Gold,2024
1935992,True,SWANSON Charlie,SWANSON C,Male,USA,United States,"[""Men's 100m Breaststroke"", ""Men's 4 x 100m Medley Relay"", 'Mixed 4 x 100m Medley Relay']",United States,,Silver,2024
1935996,True,URLANDO Luca,URLANDO L,Male,USA,United States,"[""Men's 200m Butterfly""]",United States,,,2024
1935997,True,WALSH Alex,WALSH A,Female,USA,United States,"[""Women's 200m Individual Medley""]",United States,,,2024
1935998,True,WALSH Gretchen,WALSH G,Female,USA,United States,"[""Women's 100m Butterfly"", ""Women's 100m Freestyle"", ""Women's 4 x 100m Freestyle Relay"", ""Women's 4 x 100m Medley Relay"", ""Women's 50m Freestyle"", 'Mixed 4 x 100m Medley Relay']",United States,,Silver,2024
1935998,True,WALSH Gretchen,WALSH G,Female,USA,United States,"[""Women's 100m Butterfly"", ""Women's 100m Freestyle"", ""Women's 4 x 100m Freestyle Relay"", ""Women's 4 x 100m Medley Relay"", ""Women's 50m Freestyle"", 'Mixed 4 x 100m Medley Relay']",United States,,Silver,2024
1935998,True,WALSH Gretchen,WALSH G,Female,USA,United States,"[""Women's 100m Butterfly"", ""Women's 100m Freestyle"", ""Women's 4 x 100m Freestyle Relay"", ""Women's 4 x 100m Medley Relay"", ""Women's 50m Freestyle"", 'Mixed 4 x 100m Medley Relay']",United States,,Gold,2024
1935998,True,WALSH Gretchen,WALSH G,Female,USA,United States,"[""Women's 100m Butterfly"", ""Women's 100m Freestyle"", ""Women's 4 x 100m Freestyle Relay"", ""Women's 4 x 100m Medley Relay"", ""Women's 50m Freestyle"", 'Mixed 4 x 100m Medley Relay']",United States,,Gold,2024
1935999,True,WEBER Emma,WEBER E,Female,USA,United States,"[""Women's 100m Breaststroke"", ""Women's 4 x 100m Medley Relay""]",United States,,Gold,2024
1936000,True,WEINSTEIN Claire,WEINSTEIN C,Female,USA,United States,"[""Women's 200m Freestyle"", ""Women's 4 x 200m Freestyle Relay""]",United States,"Marathon Swimming. Won 5km and mixed relay gold medals at the 2022 World Junior Open Water Championships in Mahe, Seychelles. Also competed on the 2023 World Aquatics World Cup series, winning the 10km event in Portugal in December 2023",Silver,2024
1936001,True,WEYANT Emma,WEYANT E,Female,USA,United States,"[""Women's 400m Individual Medley""]",United States,,Bronze,2024
1936004,True,WHITLOCK Luke,WHITLOCK L,Male,USA,United States,"[""Men's 800m Freestyle""]",United States,,,2024
1936119,True,FARRO Chloe,FARRO C,Female,ARU,Aruba,"[""Women's 50m Freestyle""]",Aruba,,,2024
1936214,True,THET HTAR Thuzar,THET HTAR T,Female,MYA,Myanmar,"[""Women's Singles""]",Myanmar,,,2024
1936230,True,ALMAZ UULU Bekzat,ALMAZ UULU B,Male,KGZ,Kyrgyzstan,"[""Men's Freestyle 57kg""]",Kyrgyzstan,,,2024
1936237,True,AKMATALIEV Ernazar,AKMATALIEV E,Male,KGZ,Kyrgyzstan,"[""Men's Freestyle 65kg""]",Kyrgyzstan,,,2024
1936247,True,TARERE Josh,TARERE J,Male,PNG,Papua New Guinea,"[""Men's 100m Freestyle""]",,,,2024
1936257,True,VELE Georgia-Leigh,VELE G-L,Female,PNG,Papua New Guinea,"[""Women's 50m Freestyle""]",,,,2024
1936284,True,DAULETBEKOV Azamat,DAULETBEKOV A,Male,KAZ,Kazakhstan,"[""Men's Freestyle 86kg""]",Kazakhstan,,,2024
1936286,True,KARTBAY Meirambek,KARTBAY M,Male,KAZ,Kazakhstan,"[""Men's Freestyle 57kg""]",,,,2024
1936293,True,BATIRMURZAEV Yusu,BATIRMURZAEV Y,Male,KAZ,Kazakhstan,"[""Men's Freestyle 125kg""]",,,,2024
1936309,True,ZOHRI Lalu Muhammad,ZOHRI LM,Male,INA,Indonesia,"[""Men's 100m""]",Indonesia,,,2024
1936310,True,KASSMAN Kevin Sogo,KASSMAN KS,Male,PNG,Papua New Guinea,['Men -68kg'],Papua New Guinea,,,2024
